配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
112,10*1150,凯欧,根,,0,0,皮带,,,01,01
113,10*1150pd,凯欧,根,,0,0,皮带,,,01,01
114,10*1425pd,凯欧,根,,0,0,皮带,,,01,01
115,10*1470pd,凯欧,根,,0,0,皮带,,,01,01
116,10*737PD,凯欧,根,,0,6,皮带,,,01,01
117,10*750PD,凯欧,根,,0,6,皮带,,,01,01
118,10*755PD,凯欧,根,,0,6,皮带,,,01,01
119,10*760pd,凯欧,根,,0,6,皮带,,,01,01
120,10*763PD,凯欧,根,,0,6,皮带,,,01,01
121,10*775PD,凯欧,根,,0,6,皮带,,,01,01
122,10*790PD,凯欧,根,,0,6,皮带,,,01,01
123,10*810PD,凯欧,根,,0,0,皮带,,,01,01
124,10*813PD,凯欧,根,,0,0,皮带,,,01,01
125,10*825PD,凯欧,根,,0,0,皮带,,,01,01
126,10*860PD,凯欧,根,,5,0,皮带,,,01,01
127,10*865PD,凯欧,根,,0,0,皮带,,,01,01
128,10*940pdrecmf1370,凯欧,根,,8,0,皮带,,,01,01
129,10*950LIPD,凯欧,根,,5,0,皮带,,,01,01
130,10*950PD,凯欧,根,,5,0,皮带,,,01,01
131,10*960,凯欧,根,,0,0,皮带,,,01,01
132,100*120*13YF,油封,只,,0,0,油封,,,01,01
133,100*125*12YF,油封,只,,6,0,油封,,,01,01
134,100*125*12YF1,油封,只,,6,0,后油封总成/7孔,,,01,01
135,1000wnbq,,只,,140,160,逆变器,,全公司共享,01,01
136,1001-0001,仪表总成,只,,240,0,仪表总成,,,01,01
137,1004-0001,水温表,只,,14.5,20,数字水温表,,,01,01
138,1007AOMYBZC,仪表总成,只,,520,600,仪表总成,,,01,01
139,1008A1JL,机滤,只,,8,9.5,机滤,,,01,01
140,1008A1JL1,机滤,只,,8,9.5,机滤,,,01,01
141,1008A1JL2,机滤,只,,11,13,机滤,,,01,01
142,1008AJL,机滤,只,,8,9.5,机滤,,,01,01
143,100ABXH,保险盒,只,,0,0,保险盒,,,01,01
144,100AFDJDZ,发电机配件,只,,450,550,发电机定子,,,01,01
145,100AFDJZZ,发电机配件,只,,0,0,发电机转子,,,01,01
146,100PKTG,空调管,根,,110,130,空调管  ,,,01,01
147,100PKTG1,空调管,根,,65,85,空调管 冷凝器,,,01,01
148,100PYFZ,油浮子,只,,0,0,油浮子,,,01,01
149,1010R/182FXZLB,方向助力泵,台,,270,290,方向助力泵,,,01,01
150,1011CL,柴滤,只,,11.5,14,柴滤,,,01,01
151,1011JL,机滤,只,,0,0,机滤,,,01,01
152,1012JL,机滤,只,,0,0,机滤,,,01,01
153,1012ZL,滤芯,只,,0,0,纸滤,,,01,01
154,1016JL,机滤,只,,7.5,8.5,机滤,,,01,01
155,1018JL,机滤,只,,,0,机滤,,,01,01
156,1018JLZC,机滤总成,只,,0,0,机滤总成,,,01,01
157,1018NKS,内扣手,只,,0,0,内扣手,,,01,01
158,1018YFZ,油浮子,只,,0,0,油浮子,,,01,01
159,1018ZL,滤芯,只,,0,0,纸滤,,,01,01
160,1018ZXS,门锁,套,,0,0,转向锁,,,01,01
161,102*116*10YF,油封,只,,0,0,油封,,,01,01
162,1020CL,机滤,只,,40,0,柴滤,,,01,01
163,1020JL,机滤,只,,18,0,机滤,,,01,01
164,1022scZb,刹车总泵,只,,14.5,0,刹车总泵,,,01,01
165,1023JL,机滤,只,,0,0,机滤,,,01,01
166,1023JLZ,机滤,只,,8,9,机滤座,,,01,01
167,1023JLZC,机滤总成,只,,0,0,机滤总成,,,01,01
168,1023JLZC1,机滤总成,只,,0,0,机滤总成,,,01,01
169,1023JLZC2,机滤总成,只,,0,0,机滤总成,,,01,01
170,1023JLZC3,机滤总成,只,,0,0,机滤总成,,,01,01
171,1023PDF,机滤,只,,8,0,旁动阀,,,01,01
172,1026MSX,门锁芯,付,,0,0,门锁芯,,,01,01
173,1026NKS,内扣手,只,,0,0,内扣手,,,01,01
174,1026YB,摇把,只,,0,0,摇把,,,01,01
175,1026YSK,锁块,只,,0,0,锁块,,,01,01
176,1026ZSK,锁块,只,,0,0,锁块,,,01,01
177,1028ldg,雨刮连动杆,根,,0,0,雨刮连动杆,,,01,01
178,1028YFZ,油浮子,只,,0,0,油浮子,,,01,01
179,1028ygdj,雨刮电机,只,,0,0,雨刮电机,,,01,01
180,102DRCMJ,,台,,0,0,电容触摸机,,全公司共享,01,01
181,1030LDG1,雨刮连动杆,根,,17,0,雨刮连动杆,,,01,01
182,1030MSX,门锁芯,付,,6,8,门锁芯,,,01,01
183,1030NFDJ1043nfdj,暖风电机,只,,88,0,暖风电机,,,01,01
184,1037YBZC,仪表总成,只,,0,0,仪表总成,,,01,01
185,103AQDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
186,103DRCMJ,,台,,0,0,电容触摸机,,全公司共享,01,01
187,104*135*9YF,油封,只,,3.8,0,油封,,,01,01
188,104112vQDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
189,104124vQDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
190,104124vqdjdq1,起动继电器,只,,0,0,起动继电器,,,01,01
191,1041BGJDQ2,变光继电器,只,,0,0,变光继电器,,,01,01
192,1041BGJDQ3,变光继电器,只,,0,0,变光继电器,,,01,01
193,1041DGJDQ2,灯光继电器,只,,2.8,0,灯光继电器,,,01,01
194,1041LHQP,铁流,只,,0,0,离合器片,,,01,01
195,1041LHQZB,万安,只,,19,0,离合器总泵,,,01,01
196,1041NFSX,暖风水箱,只,,0,0,暖风水箱,,,01,01
197,1041NKS,内扣手,只,,0,0,内扣手,,,01,01
198,104-1QDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
199,1041SCfB,刹车总泵,只,,22,0,刹车分泵,,,01,01
200,1041SCfB1,刹车总泵,只,,22,0,刹车分泵,,,01,01
201,1041scfb5,刹车总泵,只,,22,0,刹车分泵,,,01,01
202,1041scfb6,刹车总泵,只,,22,0,刹车分泵,,,01,01
203,1041SWS,水温感应塞,只,,0,0,水温感应塞,,,01,01
204,1041TJQ,调节器,只,,0,0,调节器,,,01,01
205,1041YFZ,油浮子,只,,0,0,油浮子,,,01,01
206,1041YP,铁流,只,,0,0,压盘,,,01,01
207,1041yrjdq,起动继电器,只,,0,0,预热继电器,,,01,01
208,104-1YRJDQ,起动继电器,只,,0,0,预热继电器,,,01,01
209,1041yrjdq2,起动继电器,只,,0,0,预热继电器,,,01,01
210,1041YSK,锁块,只,,0,0,锁块,,,01,01
211,1041ZSK,锁块,只,,0,0,锁块,,,01,01
212,1042lhqfb,离合器分泵,只,,14,0,离合器分泵,,,01,01
213,104-2qdjdq104124vQDJDQ,起动继电器,只,,0,0,起动继电器,,,01,01
